Judul
implementasi machine learning pada sistem prediksi kejadian dan lokasi patah rel kereta api di indonesia
penerapan teknik smote untuk mengatasi imbalance class dalam klasifikasi objektivitas berita online menggunakan algoritma knn
pengembangan sistem informasi akademik berbasis mobile menggunakan flutter di universitas narotama surabaya
efektivitas algoritma kecerdasan buatan dalam implementasi kesehatan mental
aplikasi ecommerce galeri lembaga adat melayu riau berbasis mobile menggunakan flutter menerapkan metode waterfall
perancangan aplikasi undangan pernikan online berbasis mobile menggunakan flutter
penerapan clean architecture dalam membangun aplikasi berbasis mobile dengan framework google flutter
pengembangan aplikasi mobile tanggap bencana di kab bengkalis menggunakan framework flutter
aplikasi manajemen inventori berbasis mobile menggunakan flutter dan firebase realtime database
pengembangan dashboard trivy berbasis website menggunakan react js dan golang
teknik single page application spa layout web dengan menggunakan react js dan bootstrap
pengembangan sistem informasi pengelolaan persediaan barang dengan reactjs dan react native menggunakan prototype studi kasus toko uda fajri
membangun antarmuka pengguna menggunakan reactjs untuk modul manajemen pengguna
perbandingan metode data mining untuk prediksi nilai dan waktu kelulusan mahasiswa prodi teknik informatika dengan algoritma c4 5 nave bayes knn dan
penerapan react js pada pengembangan frontend aplikasi startup ubaform
pengembangan menu digital menggunakan reactjs implementasi hasil belajar studi independen di frontend engineering program ruangguru camp career
rancang bangun ecommerce berbasis single page application spa menggunakan reactjs
implementasi reactjs pada pembuatan sistem informasi digital printing berbasis website
aplikasi artificial intelligence untuk mendeteksi objek berbasis web menggunakan library tensorflow js react js dan coco dataset
desain sistem speech recognition penerjemah bahasa toraja menggunakan hidden markov model
implementasi speech recognition pada perpustakaan smks teladan medan
objek deteksi makanan khas palembang menggunakan algoritma yolo you only look once
penggunaan metode yolo pada deteksi objek sebuah tinjauan literatur sistematis
object detection untuk mendeteksi citra buahbuahan menggunakan metode yolo
klasifikasi teks mining terhadap analisa isu kegiatan tenaga lapangan menggunakan algoritma knearest neighbor knn
deteksi kematangan buah pepaya menggunakan algoritma yolo berbasis android
deteksi kendaraan dengan metode yolo
analisis kinerja dan peningkatan kecepatan deteksi kendaraan dalam sistem pengawasan video dengan metode yolo
identifikasi kendaraan bermotor pada dashcam mobil menggunakan algoritma yolo
pendeteksian objek menggunakan opencv dan metode yolov4tiny untuk membantu tunanetra
optimasi deteksi objek dengan segmentasi dan data augmentasi pada hewan siput beracun menggunakan algoritma you only look once yolo
implementasi algoritma kmeans untuk klasterisasi kinerja akademik mahasiswa
penerapan metode clustering dengan algoritma kmeans pada pengelompokan indeks prestasi akademik mahasiswa
penerapan algoritma kmeans untuk analisis prestasi akademik mahasiswa fakultas ilmu komputer universitas klabat
penerapan metode kmeans untuk clustering mahasiswa berdasarkan nilai akademik dengan weka interface studi kasus pada jurusan teknik informatika umm
teknologi web crawler sebagai alat pengembangan market segmentasi untuk mencapai keunggulan bersaing pada emarketplace
penerapan kmeans clustering untuk penentuan klasterisasi beasiswa bidikmisi mahasiswa
implementasi data mining terhadap prestasi belajar mahasiswa berdasarkan pergaulan dan sosial ekonomi dengan algoritma kmeans clustering
sistem penjadwalan perkuliahan menggunakan algoritma genetika studi kasus pada jurusan teknologi informasi fakultas teknik universitas tadulako
penerapan algoritma genetika dalam optimisasi penjadwalan sistem informasi akademik
optimalisasi penjadwalan kuliah menggunakan algoritma genetika untuk meningkatkan efisiensi jadwal pada program studi
sistem informasi penjadwalan mata kuliah menggunakan algoritma genetika berbasis web
optimalisasi penjadwalan karyawan paruh waktu berdasarkan nilai fitness terbaik menggunakan algoritma genetika
optimalisasi penjadwalan babak penyisihan pertandingan sepak bola liga mahasiswa jawa barat menggunakan algoritma genetika
optimalisasi penjadwalan pemadaman hotspot kebakaran hutan dan lahan menggunakan algoritma genetik
penerapan sertifikat pada sistem keamanan menggunakan teknologi blockchain
ekstraksi data produk emarketplace sebagai strategi pengolahan segmentasi pasar menggunakan web crawler
analisis keamanan pada teknologi blockchain
implementasi teknologi blockchain dalam pengamanan sistem keuangan pada perguruan tinggi implementation of blockchain technology in securing financial
memperkuat keamanan data melalui teknologi blockchain mengeksplorasi implementasi sukses dalam transformasi digital di indonesia
implementasi teknologi blockchain untuk keamanan data internet of things
perancangan sistem informasi manajemen berbasis teknologi blockchain untuk optimalisasi keamanan dokumen digital
sistem pengamanan data menggunakan kriptografi aes dan blockchain berbasis android
skema catatan kesehatan menggunakan teknologi blockchain dalam pendidikan
eksplorasi potensi penggunaan blockchain dalam optimalisasi manajemen pelabuhan di indonesia tinjauan literatur
penggunaan teknologi blockchain dalam bidang pendidikan
kecerdasan buatan
penerapan web walkers sebagai media informasi untuk perbandingan manual brewing coffee di indonesia
kecerdasan buatana
kecerdasan buatan dalam hal otomatisasi layanan
implementasi logika fuzzy pada sistem kecerdasan buatan
kecerdasan buatan berbasis pengetahuan
kecerdasan buatan sebagai konsep baru pada perpustakaan
pengembangan media pembelajaran mobile learning berbasis android pada mata kuliah kecerdasan buatan
retracted di tarik dampak kecerdasan buatan bagi pendidikan
implementasi pengolahan citra pada quadcopter untuk deteksi manusia menggunakan algoritma yolo
implementasi algoritma you only look once yolo untuk deteksi korban bencana alam
implementasi web crawler untuk mencari harga barang termurah dari berbagai situs ecommerce indonesia
computer vision dan yolo menggali potensi computer vision dan implementasi yolo untuk pertanian pintar
implementasi yolo v8 untuk mendeteksi mata uang rupiah emisi tahun 2022 beroutput audio
implementasi yolo versi 3 untuk mengidentifikasi dan mengklasifikasi sampah kantor berbasis nvidia jetson nano
implementasi yolo dalam deteksi jumlah kendaraan
implementasi algoritma yolo dan tesseract ocr pada sistem deteksi plat nomor otomatis
implementasi algoritma you only look once yolo untuk object detection sarang orang utan
implementasi dan analisis performansi metode you only look once yolo sebagai sensor pornografi pada video
implementasi algoritma cnn dan yolo untuk mendeteksi jenis kendaraan pada jalan raya
peramalan penjualan mobil menggunakan jaringan syaraf tiruan dan certainty factor
jaringan syaraf tiruan untuk memprediksi laju pertumbuhan penduduk menggunakan metode bacpropagation studi kasus di kota bengkulu
membangun web crawler menggunakan metode incremental serta tinjauannya menurut agama islam studi kasus situs web kesehatan indonesia
penggunaan jaringan syaraf tiruan backpropagation untuk seleksi penerimaan mahasiswa baru pada jurusan teknik komputer di politeknik negeri sriwijaya
peramalan jumlah permintaan produksi menggunakan metode jaringan syaraf tiruan jst backpropagation
klasifikasi jenis kacangkacangan berdasarkan tekstur menggunakan jaringan syaraf tiruan
analisis jaringan syaraf tiruan untuk prediksi volume ekspor dan impor migas di indonesia
jaringan syaraf tiruan algoritma backpropagation dalam memprediksi ketersediaan komoditi pangan provinsi riau
pengenalan jenis golongan darah menggunakan jaringan syaraf tiruan perceptron
perbandingan metode jaringan syaraf tiruan backpropagation dan learning vector quantization pada pengenalan wajah
implementasi jaringan syaraf tiruan backpropagation untuk mendiagnosis penyakit kulit pada anak
pengolahan citra digital untuk mendeteksi obyek menggunakan pengolahan warna model normalisasi rgb
implementasi kompresi citra digital dengan mengatur kualitas citra digital
apakah pembelajaran menggunakan teknologi dapat meningkatkan literasi manusia pada generasi z di indonesia
segmentasi citra digital ikan menggunakan metode thresholding
aplikasi pengolahan citra digital untuk identifikasi umur pohon
penerapan metode konvolusi dalam pengolahan citra digital
pengolahan citra digital dan histogram dengan phyton dan text editor phycharm
pengukuran kualitas citra digital computed radiography menggunakan program pengolah citra
implementasi data mining sebagai pengolahan data
pengembangan sistem informasi pengolahan data pencari kerja pada dinas sosial dan tenaga kerja kota padang
pengolahan data geolistrik dengan metode schlumberger
sistem informasi pengolahan data administrasi kependudukan pada kantor desa pucung karawang
algoritma pemrograman
persepsi mahasiswa program studi informatika universitas al azhar indonesia terhadap implementasi merdeka belajar kurikulum merdeka
pembelajaran dasar algoritma dan pemrograman menggunakan elgoritma berbasis web
pengantar logika informatika algoritma dan pemrograman komputer
mengenal flowchart dan pseudocode dalam algoritma dan pemrograman
pengantar algoritma dan pemrograman
efektivitas model blended learning terhadap motivasi dan tingkat pemahaman mahasiswa mata kuliah algoritma dan pemrograman
