Badminton✅
sepakbola✅
renang✅
futsal✅
panahan✅
sejarah✅
kedokteran✅
Peran Guru dalam Meningkatkan Karakter Siswa di Sekolah Dasar✅
Analisis Kebutuhan Pelatihan Guru di Era Kurikulum Merdeka✅
Hubungan Gaya Belajar dengan Prestasi Akademik Mahasiswa✅
Efektivitas Edukasi Gizi terhadap Perubahan Perilaku Konsumsi✅
Pencegahan Stunting melalui Intervensi Gizi Ibu Hamil✅
Pengaruh Aktivitas Fisik terhadap Kesehatan Jantung Lansia✅
Hubungan Antara Dukungan Sosial dan Stres Akademik✅
Efektivitas Terapi Musik untuk Mengurangi Kecemasan✅
Pengaruh Pola Asuh Orang Tua terhadap Perilaku Remaja✅
Peran Mindfulness dalam Meningkatkan Kesejahteraan Psikologis✅
Studi Kasus Gangguan Kepribadian di Kalangan Mahasiswa✅
Analisis Yuridis terhadap Perlindungan Konsumen dalam E-Commerce✅
Efektivitas Hukum Perlindungan Anak di Indonesia✅
Kajian Hukum atas Pidana Korupsi di Indonesia✅
Hak Asasi Manusia dalam Perspektif Hukum Internasional✅
Perubahan Sosial dalam Masyarakat Perkotaan✅
Pengaruh Globalisasi terhadap Identitas Budaya Remaja✅
Studi Perilaku Sosial Masyarakat Pasca Pandemi✅
Pengaruh Pupuk Organik terhadap Produktivitas Padi✅
Strategi Adaptasi Petani terhadap Perubahan Iklim✅
Analisis Kualitas Air Sungai di Wilayah Industri✅
Peran Agroforestri dalam Konservasi Tanah dan Air✅
Studi Keanekaragaman Hayati di Hutan Tropis✅
Strategi Public Relations dalam Membangun Citra Institusi✅
Tata Boga✅
Peran Media Massa dalam Pembentukan Opini Publik✅
Dampak Hoaks terhadap Perilaku Sosial Masyarakat✅
Komunikasi Antarbudaya dalam Dunia Kerja✅
Kepemimpinan Transformasional dan Kinerja Pegawai✅
Analisis Konflik Organisasi dan Penyelesaiannya✅
Efektivitas Manajemen Risiko dalam Proyek Konstruksi✅
Peran Manajemen SDM dalam Meningkatkan Loyalitas Karyawan✅
Etika Bisnis dalam Perspektif Islam✅
Studi Komparatif Ajaran Moral dalam Agama-agama Besar✅
Peran Nilai Keagamaan dalam Pembentukan Karakter Bangsa✅
Filsafat Pendidikan menurut Ki Hajar Dewantara✅
Spiritualitas dan Kesejahteraan Psikologis✅
Hukum saham dalam Islam✅
Implementasi Kurikulum Merdeka Belajar di Sekolah Menengah✅
Pengaruh Metode Pembelajaran STEAM terhadap Kreativitas Siswa✅
Efektivitas Model Pembelajaran Blended Learning✅
Pengaruh Media Sosial terhadap Perilaku Belajar Siswa✅
Peran Orang Tua dalam Pendidikan Anak di Masa Pandemi✅
Pengaruh Game Edukatif terhadap Daya Ingat Anak✅
Burnout pada Guru Sekolah Dasar di Daerah Terpencil✅
Strategi Pembelajaran Inklusif untuk Siswa Berkebutuhan Khusus✅
Pengaruh Kedisiplinan Sekolah terhadap Prestasi Siswa✅
Perbandingan Diet Keto dan Diet Mediterania terhadap Kesehatan Metabolik✅
Efektivitas Suplemen Omega-3 terhadap Fungsi Kognitif Lansia✅
Gaya Hidup Sehat Mahasiswa di Era Modern✅
Perilaku Konsumsi Fast Food di Kalangan Pelajar✅
Perbandingan Metode Penyuluhan Gizi Tatap Muka dan Online✅
Pola Hidup Sehat pada Pekerja Kantoran✅
Pencegahan Diabetes Tipe 2 melalui Aktivitas Fisik Rutin✅
Hubungan Kecukupan Gizi Balita dengan Perkembangan Motorik✅
Pengaruh Paparan Sinar Biru terhadap Kualitas Tidur✅
Dampak Deforestasi terhadap Ekosistem Lokal✅
Studi Risiko Bencana di Daerah Rawan Gempa✅
Analisis Dampak Perubahan Iklim terhadap Pertanian✅
Penilaian Kualitas Udara di Wilayah Perkotaan✅
Studi Konservasi Mangrove sebagai Penahan Abrasi✅
Pengaruh Aktivitas Tambang terhadap Kualitas Air✅
Adaptasi Komunitas Pesisir terhadap Kenaikan Muka Laut✅
Pengaruh Urbanisasi terhadap Lahan Pertanian✅
Studi Tata Ruang Wilayah yang Berkelanjutan✅
Pengaruh Literasi Keuangan terhadap Gaya Hidup Konsumtif✅
Strategi Manajemen Krisis pada Perusahaan Retail✅
Studi Etika Profesi dalam Dunia Hukum✅
Perlindungan Hukum Terhadap Korban Kekerasan Seksual✅
Peran Lembaga Swadaya Masyarakat dalam Advokasi HAM✅
Analisis UU ITE dalam Perlindungan Privasi Online✅
Dinamika Politik Identitas di Media Sosial✅
Studi Sosiologis Mengenai Polarisasi Politik✅
Studi Etnografi Masyarakat Adat di Era Modern✅
Hubungan Antara Kecerdasan Emosional dan Kesuksesan Karier✅
Pengaruh Soft Skill terhadap Daya Saing Lulusan✅
Efektivitas Program Magang dalam Meningkatkan Kesiapan Kerja✅
Studi Preferensi Karier Mahasiswa Generasi Z✅
Pengaruh Kegiatan Organisasi terhadap Prestasi Akademik✅
Perkembangan Musik Indie di Indonesia✅
Studi Representasi Gender dalam Film Lokal✅
Kajian Puisi Modern sebagai Kritik Sosial✅
Analisis Simbolisme dalam Cerpen Kontemporer✅
Pengaruh Globalisasi terhadap Musik Tradisional✅
Representasi Budaya Lokal dalam Fashion Streetwear✅
Revitalisasi Tari Tradisional di Kalangan Milenial✅
Lari Pagi bagi kesehatan tubuh✅
Reboisasi untuk kebaikan alam✅
Dampak rokok bagi kesehatan tubuh✅
Dampak tambang ilegal pada negara✅
Perang dagang antara amerika dan cina✅ 
Tingkat pengangguran memengaruhi kemajuan suatu negara✅
Efek rumah kaca bagi iklim global✅
Psikologi anak dibawah umur yang mengalami kekerasan✅
Penanggulangan sampah plastik✅
Program makan bergizi gratis✅
tingginya standarisasi lowongan kerja di Indonesia✅
Kuranganya transparansi antara pemerintah dengan rakyat✅
Program KKN dalam membantu memajukan kehidupan bangsa✅ 
Tragedi 98✅  
Misteri benua antartika✅
Tingkat rasisme di Indonesia✅
Derasnya arus masuk barang ilegal di indonesia✅
Kemajuan negara berpaham komunisme✅
Daya saing produk lokal dalam negeri terhadap produk luar✅
Penelitian laut dalam✅
Penerbangan domestik mempengaruhi kerja sama Internasional✅
Penerapan hukuman mati untuk para koruptor✅
Kesenjangan sosial pada kehidupan masyarakat✅
Efektivitas otonomi daerah dalam pemerataan pembangunan✅
Antusias masyarakat indonesia terhadap sepakbola✅
Kewajiban negara dalam mensejahterakan para guru✅
Pentingnya membaca untuk peningkatan intlektual diri✅
Keuntungan suatu wilayah yang dilalui oleh garis khatulistiwa✅
Prestasi indonesia pada bidang olahraga di mata dunia✅
Faktor yang mempengaruhi rendahnya angka kelahiran di Jepang✅
Efek samping dari kecanduan pornografi✅
Faktor yang mempengaruhi buruknya penampilan Mancester United✅ 
Kondisi Jepang paskah pengeboman Hiroshima✅ 
Penyesalan penemuan nuklir✅ 
Dampak dari kenaikan harga emas✅ 
Seni rupa dua dimensi✅ 
Memahami arsitektur zaman romawi kuno✅ 
Sejarah pradaban dinosaurus✅
Memahami ilmu astronomi✅
Nuklir sebagai energi alternatif✅
Perjalanan Spiritual dalam mencari jati diri✅
Mempelajari dunia saham✅
industri amoniak✅
Ketertarikan wanita pada lelaki yang lebih dewasa✅
Air sebagai sumber kehidupan✅
kelainan orientasi Seksual✅
Ilmu dasar dalam mendidik anak✅
Faktor meningkatnya stress pada generasi z✅
Perbedaan zaman memengaruhi cara berfikir✅
Dampak dari kecanduan bermain hp pada anak-anak✅
Kebijakan pemerintah mempengaruhi Kesejahteraan rakyat✅
Pelatihan membawa alat berat✅
Meditasi menurut ilmu kedokteran✅
Angka kriminal di amerika✅
Kemiskinan menjadi Faktor terjadinya kriminalitas✅
Sering Marah dapat mempengaruhi kesehatan jantung✅
Dampak dari rumah kaca bagi iklim bumi✅
Mobil listrik✅
Daya tarik investor pada pembangunan IKN✅
Faktor yang menyebabkan rendahnya reputasi polisi di mata masyarakat✅
Sektor maritim menjadi mata pencarian masyarakat Indonesia✅
Kerja sama antar negara non block
