Judul,Penulis,Abstrak
Penerapan Algoritma K-Nearest Neighbor Untuk Memprediksi Kelulusan Mahasiswa: Bahasa Indonesia,"RA Manullang, FA Sianturi - Jurnal Ilmu Komputer Dan …, 2021 - ejournal.sisfokomtek.org","… Data mining techniques are widely used to overcome many … of data mining techniques, 
namely classification, classification is a technique in data mining to group data based on data …"
Implementasi Data Mining Menggunakan Metode Naïve Bayes Classifier untuk Data Kenaikan Pangkat Dinas Ketenagakerjaan Kota Medan,"AY Simanjuntak, A Anita - Journal of Science and Social …, 2022 - jurnal.goretanpena.com","… dari data primer Dinas ketenagakerjaan kota Medan. Sistem yang akan dikembangkan 
menggunakan Bahasa … Hasil dari penelitian ini adalah Data klassifikasi calon pegawai dalam …"
Penerapan Pembelajaran Mesin (Machine Learning) dan Pembelajaran Dalam (Deep Learning) Berkinerja Tinggi untuk Mendukung Sektor Pertanian di Indonesia,HF Pardede - 2023 - penerbit.brin.go.id,"… Machine learning-based for automatic detection of corn-plant diseases using image 
processing. Dalam 2018 International Conference on Computer, Control, Informatics and Its …"
Data Mining Klasterisasi dengan Algoritme K-Means untuk Pengelompokkan Provinsi Berdasarkan Konsumsi Bahan Bakar Minyak Nasional,"A Wibowo, IR Mahartika - Prosiding SISFOTEK, 2019 - seminar.iaii.or.id","… consumption in Indonesia is beneficial … Indonesia based on the level of fuel consumption 
in each province. This study analyzes data on national fuel consumption throughout Indonesia …"
Data Mining Untuk Klasifikasi Produk Menggunakan Algoritma K-Nearest Neighbor Pada Toko Online,"MIA Sukri, SN Fauziah, A Fatkhurohman… - Prosiding …, 2021 - seminar.iaii.or.id","… Gambar 2 merupakan data transaksi e-commerce di Indonesia berdasarkan kategori. 
Menurut data awal tahun 2019 tersebut, pembelanjaan online konsumen di Indonesia paling …"
Penerapan Data Mining Dalam Menganalisa Pola Peminjaman Buku di Perpustakaan SMP Negeri 2 Beringin Satu Atap Menggunakan Algoritma Apriori,"KR Sitanggang, PS Hasugian - Jurnal Ilmu Komputer …, 2018 - ejournal.sisfokomtek.org","… ditemukan, barulah dicari aturan asosiasi yang memenuhi syarat minimum untuk confidence 
dengan menghitung confidence aturan asosiatif A → B. Nilai confidence dari aturan A → B …"
Pemodelan machine learning: Analisis sentimen masyarakat terhadap kebijakan ppkm menggunakan data twitter,"SF Pane, J Ramdan - Jurnal Sistem Cerdas, 2022 - apic.id","… Proses menterjemahkan tweet bahasa Indonesia kedalam bahasa inggris. Hal ini dilakukan 
karena library TextBlob hanya dapat menghitung polarity dan sentimen dataset berbahasa …"
Model Klasifikasi Berbasis Multiclass Classification dengan Kombinasi Indobert Embedding dan Long Short-Term Memory untuk Tweet Berbahasa Indonesia,"TIZM Putra, S Suprapto… - Jurnal Ilmu Siber dan …, 2022 - penerbitgoodwood.com","… dengan bantuan metode machine learning maupun deep learning. Klasifikasi teks menjadi 
area penelitian yang sering muncul dalam pemrosesan bahasa alami karena meningkatnya …"
Implementasi Web crawler untuk pengambilan data dan analisis sentimen pada media online berbahasa Indonesia,F Yuliana - 2016 - eprints.uai.ac.id,"… sentimen pada media online berbahasa Indonesia - Repository Universitas Al Azhar Indonesia 
… untuk pengambilan data dan analisis sentimen pada media online berbahasa Indonesia. …"
… search on Indonesian anti-plagiarism detection: Pemanfaatan web crawler untuk pencarian referensi pada deteksi anti-plagiarisme dokumen Bahasa Indonesia,"AT Wibowo, A Arifianto, A Oktoveri… - 2013 IEEE …, 2013 - ieeexplore.ieee.org","Matching one document with other documents is one of anti-plagiarism tasks. Matching can 
be performed both intra and extra-corpal. This paper will discuss extra-corpal matching …"
Penggunaan web crawler untuk menghimpun tweets dengan metode pre-processing text mining,"BR Aditya - Jurnal Infotel, 2015 - ejournal.ittelkom-pwt.ac.id","… yaitu model waterfall dan diimplementasikan dengan bahasa pemrograman PHP. Sedangkan 
… twitter resmi Samsung Indonesia yang aktif dalam mempromosikan produk-produknya [6]. …"
Membangun Web Crawler Menggunakan Metode Incremental serta Tinjauannya Menurut Agama Islam (Studi Kasus: Situs Web Kesehatan Indonesia),D Adlan - 2019 - digilib.yarsi.ac.id,"… korpus kesehatan berbahasa Indonesia sangat terbatas. … korpus kesehatan berbahasa 
Indonesia dengan mengambil dokumen… dimuat dan diunduh sebelumnya oleh web crawler. Web …"
