Judul,Penulis,Abstrak
"Aplikasi Artificial Intelligence Untuk Mendeteksi Objek Berbasis Web Menggunakan Library Tensorflow Js, React Js Dan Coco Dataset","PD Arnesia, NA Pratama… - JSiI (Jurnal Sistem …, 2022 - e-jurnal.lppmunsera.org","… Perancangan aplikasi ini menggunakan struktur navigasi non-linier. Struktur navigasi non-linier 
merupakan struktur tidak terurut yang merupakan pengembangan dari struktur navigasi …"
[PDF][PDF] Desain sistem speech recognition penerjemah bahasa toraja menggunakan hidden markov model,"S Wahyuni, NS Layuk, RH Loly… - Jurnal Penelitian Pos …, 2021 - jurnal-ppi.kominfo.go.id","… daerah sebagai Bahasa sehari-hari mereka. Oleh karena itu, … speech recognition penerjemah 
untuk salah satu Bahasa daerah di Indonesia yaitu bahasa Toraja ke Bahasa Indonesia …"
Implementasi Speech Recognition Pada Perpustakaan SMKS Teladan Medan,"MF Saputra, MAE Nasution - Jurnal Info Digit (JID), 2024 - kti.potensi-utama.org","… Proses dalam sistem text-to-speech bahasa Indonesia meliputi dua proses yaitu proses 
pengubahan teks lisan menjadi fonem dan proses pengubahan fonem menjadi ucapan. Selain …"
Objek Deteksi Makanan Khas Palembang Menggunakan Algoritma YOLO (You Only Look Once),"L Rahma, H Syaputra, AH Mirza… - Jurnal Nasional Ilmu …, 2021 - journal.jis-institute.org","… one object detection algorithm that has a higher level of accuracy and processing speed, 
namely You Only Look Once (YOLO… to do object detection with the You Only Look Once (YOLO) …"
Penggunaan Metode YOLO Pada Deteksi Objek: Sebuah Tinjauan Literatur Sistematis,"DN Alfarizi, RA Pangestu, D Aditya… - AI dan SPK: Jurnal …, 2023 - jurnalmahasiswa.com","… literature review on object detection using the YOLO method. … regarding the YOLO method 
of object detection. This paper … Dalam penelitian ini penulis menggunakan algoritma YOLO …"
OBJECT DETECTION UNTUK MENDETEKSI CITRA BUAH-BUAHAN MENGGUNAKAN METODE YOLO,"DH Saputra, B Imran - Jurnal Kecerdasan Buatan dan …, 2023 - ojs.ninetyjournal.com","… The method that can be used for object … Once (YOLO) is a Deep Learning model that can 
be used for object recognition. This study aims to identify objects in fruit images using YOLO. …"
Klasifikasi Teks Mining Terhadap Analisa Isu Kegiatan Tenaga Lapangan Menggunakan Algoritma K-Nearest Neighbor (KNN),"N Ajijah, A Kurniawan, S Susilawati - J-SAKTI (Jurnal Sains …, 2023 - tunasbangsa.ac.id","… Pada penelitian ini mengaplikasikan tahapan penelitian CRISP-DM serta penerapan 
algoritma K-Nearest Neighbor (KNN) yang menunjukan bahwa tingkat akurasi yang dihasilkan …"
Deteksi Kematangan Buah Pepaya Menggunakan Algoritma YOLO Berbasis Android,"F Agustina, M Sukron - Jurnal Ilmiah Infokam, 2022 - amikjtc.com","… using the ability of object detection technology. Object detection or better known as object 
detection is the application of computers to detect and identify certain objects. The use of the …"
Deteksi Kendaraan Dengan Metode YOLO,"MF Arif, A Nurkholis, S Laia… - AI dan SPK: Jurnal …, 2023 - jurnalmahasiswa.com","… Dalam penelitian ini, kami menggunakan metode YOLO untuk mendeteksi … the YOLO method 
for vehicle detection in images and videos. The YOLO method implements object detection …"
Analisis Kinerja Dan Peningkatan Kecepatan Deteksi Kendaraan Dalam Sistem Pengawasan Video Dengan Metode YOLO,"T Hidayat, RF Firmansyah, M Ilham… - JRIIN: Jurnal Riset …, 2023 - jurnalmahasiswa.com","… Penelitian ini menggunakan pendekatan kualitatif dan tinjauan pustaka … detection. The 
conclusion of this research is that the YOLO method is an effective method in object detection and …"
Identifikasi Kendaraan Bermotor pada Dashcam Mobil Menggunakan Algoritma YOLO,"F Ramadhani, A Satria, S Dewi - Hello World Jurnal Ilmu …, 2024 - jurnal.ilmubersama.com","… pada gambar 10 dan 11, dimana pada gambar 10 sistem sudah bisa mengidentifikasi 
objek berupa mobil dan pada gambar 10 bisa dilihat nilai dari akurasi dari object detection. …"
PENDETEKSIAN OBJEK MENGGUNAKAN OPENCV DAN METODE YOLOv4-TINY UNTUK MEMBANTU TUNANETRA,"RM Yusup, AF Anugrah, DD Muslimah… - Journal of Computer …, 2024 - journal.ppmi.web.id","… Tiny-YOLO menggunakan lapisan pooling dan mereduksi ukuran gambar untuk lapisan 
konvolusi, … Object detection from UAV thermal infrared images and videos using YOLO models."" …"
Optimasi Deteksi Objek Dengan Segmentasi dan Data Augmentasi Pada Hewan Siput Beracun Menggunakan Algoritma You Only Look Once (YOLO),"RF Putra, DI Mulyana - Jurnal JTIK (Jurnal Teknologi …, 2024 - journal.lembagakita.org","… Object detection is an important task in various popular fields such as medical diagnosis, … 
an optimized object detection model with segmentation and augmentation using the YOLO (…"
Implementasi Algoritma K-Means untuk Klasterisasi Kinerja Akademik Mahasiswa,"FNRFJ Aziz, BD Setiawan, I Arwani - … Teknologi Informasi Dan Ilmu …, 2018 - j-ptiik.ub.ac.id","… Dengan menggunakan metode k-means clustering, peneliti … menggambarkan kinerja prestasi 
akademik mahasiswa pada … kinerja akademik mahasiswa dan nilai akademis mahasiswa …"
Penerapan Metode Clustering dengan Algoritma K-Means Pada Pengelompokan Indeks Prestasi Akademik Mahasiswa,"S Suraya, M Sholeh, D Andayati - … : Sistem Komputer dan …, 2023 - jom.fti.budiluhur.ac.id","… indeks prestasi mahasiswa. Penelitian yang dilakukan bertujuan memberikan alternatif … 
prestasi akademik berdasar pada proses data mining dengan menggunakan model klasterisasi…"
Penerapan Algoritma K-Means Untuk Analisis Prestasi Akademik Mahasiswa Fakultas Ilmu Komputer Universitas Klabat,"GF Mandias, GA Sandag, S Susanti… - CogITo Smart …, 2017 - cogito.unklab.ac.id","… menggunakan algoritma data mining. Penelitian ini menggunakan algoritma K-Means dalam 
menganalisis prestasi akademik mahasiswa fakultas llmu komputer di Universitas Klabat. …"
Penerapan metode K-means untuk clustering mahasiswa berdasarkan nilai akademik dengan Weka Interface studi kasus pada jurusan Teknik Informatika UMM …,"A Asroni, R Adrian - Semesta Teknika, 2015 - journal.umy.ac.id","… Dengan prestasi yang telah diraih, maka diperlukan pola rekruitmen yang baik untuk … 
Algoritma K-Means merupakan algoritma klasterisasi yang mengelompokkan data berdasarkan …"
[PDF][PDF] Teknologi Web Crawler Sebagai Alat Pengembangan Market Segmentasi Untuk Mencapai Keunggulan Bersaing Pada E-Marketplace,"A Surahman, AF Octaniansyah… - Jurnal Komputer Dan …, 2020 - academia.edu","… e-marketplace indonesia, teknologi ini dikenal dengan nama web crawler atau web spider, 
… yang diletakan di e-marketplace Indonesia, dan menghasilkan clustering segmentasi pasar …"
Penerapan K-Means Clustering Untuk Penentuan Klasterisasi Beasiswa Bidikmisi Mahasiswa,"AE Rahayu, K Hikmah, N Yustia… - ILKOMNIKA: Journal of …, 2019 - journal.unublitar.ac.id","… Tujuan dari penelitian ini menggunakan algoritma K-means … untuk membantu klasterisasi 
pengusulan mahasiswa yang … tanggungan, dan prestasi mahasiswa di bidang akademik. Dan …"
Implementasi Data Mining Terhadap Prestasi Belajar Mahasiswa Berdasarkan Pergaulan dan Sosial Ekonomi Dengan Algoritma K-Means Clustering,"S Suliman - Jurnal Sistem Informasi dan Sistem Komputer, 2021 - neliti.com","… Algoritma K-Means Clustering dalam proses pengklasifikasian data yang berhubungan 
dengan akademik mahasiswa … Pada penelitian ini penerapan data mining menggunakan teknik …"
[PDF][PDF] Sistem Penjadwalan Perkuliahan Menggunakan Algoritma Genetika (Studi Kasus Pada Jurusan Teknologi Informasi Fakultas Teknik Universitas Tadulako),"AT Saud, DW Nugraha… - Jurnal Ilmiah Matematika …, 2017 - bestjournal.untad.ac.id","… Genetika, yaitu Algoritma yang menggunakan prinsip genetika dan seleksi alamiah dalam 
proses optimisasi … proses penjadwalan perkuliahan menggunakan algoritma genetika dimulai …"
Penerapan Algoritma Genetika dalam Optimisasi Penjadwalan Sistem Informasi Akademik,"MN Cahya, IE Maulani, I Intan… - Jurnal Sosial …, 2023 - sostech.greenvest.co.id","… penjadwalan kuliah. Namun, pengembangan program yang menggunakan algoritma 
genetika … efektivitas dan efisiensi penjadwalan kuliah dengan penerapan algoritma genetika. …"
