Judul,Penulis,Abstrak
Pengaruh Penggunaan Bahasa Indonesia yang Baik pada Wasit Bulu Tangkis,"MH Sabirah, CN Bening… - Jumper: Jurnal …, 2024 - jurnal.stokbinaguna.ac.id","… identify the using of Indonesia language well by the referee of badminton championship. This 
… It can be concluded that badminton match referees must use Indonesian and use standard …"
PENYALAHGUNAAN USIA OLEH ATLET BADMINTON DITINJAU DARI UNDANG-UNDANG NOMOR 35 TAHUN 2014 TENTANG PERLINDUNGAN ANAK,"K Mulia - Journal Equitable, 2023 - ejurnal.umri.ac.id","… di Indonesia Pergelaran olahraga badminton sangat diminati oleh masyarakat Indonesia, 
hal ini dapat dilihat dari animo masyarakat ketika berlangsungnya pertandingan badminton …"
Asa para Peneliti Untuk Mengembalikan Habitat Orangutan yang Terputus di Area Eks PLG Kalteng,"OMB di Sisa Hutan, PLG di Kawasan Eks - mongabay.co.id","… proyek ambisius Pemerintah Indonesia untuk mengubah bentang satu juta hektar hutan 
untuk dijadikan lahan persawahan dilakukan di Kalimantan Tengah. Hutan gambut dikonversi, …"
PELAKSANAAN KONSERVASI ORANGUTAN OLEH BORNEO ORANGUTAN SURVIVAL MENURUT PERATURAN PEMERINTAH NOMOR 8 TAHUN 1999 …,MLKA Uda - 2009 - e-journal.uajy.ac.id,"… dengan membuka hutan belantara di Kalimantan dan Sumatera. … orang hutan dan orang 
utang) diturunkan dari bahasa Melayu dan Indonesia, artinya secara harafiah adalah orang …"
Orangutan Kalimantan Dalam Karya Sulam Tapis Dan Anyaman Manik,PK Legi - 2016 - digilib.isi.ac.id,"… alam dan lingkungan yang terjadi di Kalimantan yang merupakan daerah asal … habitat 
orangutan dan kehidupannya yang mempunyai peran penting dalam menjaga kestabilan hutan…"
